,Index,name,ratings,no_of_ratings,discount_price,actual_price,category
0,377,sandisk 128gb class 10 microsdxc memory card with adapter (sdsquar-128g-gn6ma),4.3,589547,1705,3999,tv audio  cameras camera accessories card
13,18,"amazon basics high-speed hdmi cable - 10 feet (latest standard) - supports ethernet, 3d, 4k video,black",4.4,437652,379,995,tv audio  cameras camera accessories ethernet
25,470,"amazon basics high-speed hdmi cable - 10 feet (latest standard) - supports ethernet, 3d, 4k video,black",4.4,437651,379,995,tv audio  cameras all electronics ethernet
35,15,boat bassheads 100 in-ear wired headphones with mic (black),4.1,375110,399,999,tv audio  cameras all electronics bassheads
49,4916,amazonbasics aaa performance alkaline non-rechargeable batteries (36 count) - appearance may vary,4.4,351441,639,900,tv audio  cameras all electronics vary
50,7234,amazonbasics aa performance alkaline non-rechargeable batteries (48 count) - appearance may vary,4.5,336487,929,1495,tv audio  cameras all electronics vary
52,196,"redmi 9a sport (coral green, 2gb ram, 32gb storage) | 2ghz octa-core helio g25 processor | 5000 mah battery",4.1,319396,6499,7999,tv audio  cameras all electronics redmi
57,3424,"sandisk 64gb extreme microsdxc, u3, c10, v30, uhs 1, 160mb/s r, 60mb/s w, a2 card, for 4k video rec on smartphones, action...",4.5,317885,1195,2000,tv audio  cameras camera accessories sandisk
59,46,boat bassheads 220 wired in ear earphones(black indi),4.1,276491,399,999,tv audio  cameras all electronics bassheads
86,1,pigeon polypropylene mini handy and compact chopper with 3 blades for effortlessly chopping vegetables and fruits for your...,4.1,274505,199,545,appliances all appliances chopper
87,2336,"redmi note 10s (deep sea blue, 6gb ram, 64gb storage) - super amoled display | 64 mp quad camera | 6 month free screen rep...",4.2,221269,14999,16999,tv audio  cameras all electronics quad
89,14,"huggies complete comfort wonder pants, medium (7-12kg) size count 100 baby diaper pants combo pack of 2, 50 count per pac...",4.2,215914,1022,1398,toys  baby products baby products count
101,33,"huggies complete comfort wonder pants extra large (12-17kg) size, 56 count baby diaper pants, with 5 in 1 comfort",4.2,215913,909,1399,beauty  health value bazaar complete
104,782,sandisk extreme sd uhs i 64gb card for 4k video for dslr and mirrorless cameras 170mb/s read & 80mb/s write,4.5,215311,838,1800,tv audio  cameras all electronics sd
139,1875,tozo t6 true wireless earbuds bluetooth headphones touch control with wireless charging case ipx8 waterproof stereo earpho...,4.4,207261,5999,9999,tv audio  cameras headphones headphones
